code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62317,Étaing,62,< 500 hab,39.14,0.0,0.8374164810690423,3.5867706013363048
62318,Étaples,62,10 000-19 999 hab,45.88,0.0,0.1764705882352941,-7.755294117647054
62319,Éterpigny,62,< 500 hab,33.97,1.31,0.344097995545657,-1.583229398663697
62320,Étrun,62,< 500 hab,37.43,0.0,0.7260579064587973,1.876770601336304
62321,Évin-Malmaison,62,3500-4999 hab,48.83,0.0,0.7333333333333333,4.312333333333335
62322,Famechon,62,< 500 hab,33.07,2.45,0.2605790645879732,-2.4832293986636955
62323,Fampoux,62,500-1999 hab,38.28,0.0,0.5524475524475524,0.141118881118885
62324,Farbus,62,500-1999 hab,42.52,0.0,0.8181818181818182,4.381118881118887
62325,Fauquembergues,62,500-1999 hab,36.23,0.0,0.3881118881118881,-1.9088811188811192
62326,Favreuil,62,< 500 hab,36.31,0.0,0.6247216035634744,0.7567706013363065
62327,Febvin-Palfart,62,500-1999 hab,36.45,0.0,0.4003496503496503,-1.6888811188811133
62328,Ferfay,62,500-1999 hab,43.41,0.0,0.8601398601398601,5.2711188811188805
62329,Ferques,62,500-1999 hab,35.16,0.0,0.2517482517482518,-2.9788811188811195
62330,Festubert,62,500-1999 hab,29.5,-1.69,0.0279720279720279,-8.638881118881116
62331,Feuchy,62,500-1999 hab,40.71,0.0,0.7237762237762237,2.5711188811188848
62332,Ficheux,62,< 500 hab,31.92,0.0,0.1380846325167037,-3.633229398663694
62333,Fiefs,62,< 500 hab,32.89,0.0,0.2360801781737193,-2.6632293986636952
62334,Fiennes,62,500-1999 hab,34.55,0.0,0.208041958041958,-3.588881118881119
62335,Fillièvres,62,500-1999 hab,38.48,0.77,0.5751748251748252,0.3411188811188808
62336,Fléchin,62,< 500 hab,36.24,0.0,0.6146993318485523,0.6867706013363062
62337,Flers,62,< 500 hab,37.86,0.0,0.755011135857461,2.306770601336304
62338,Fleurbaix,62,2000-3499 hab,44.12,0.0,0.5306122448979592,-0.6887755102040884
62339,Fleury,62,< 500 hab,37.34,0.0,0.7193763919821826,1.7867706013363076
62340,Floringhem,62,500-1999 hab,31.22,0.0,0.0559440559440559,-6.918881118881117
62341,Foncquevillers,62,< 500 hab,39.2,0.0,0.8418708240534521,3.646770601336307
62342,Fontaine-lès-Boulans,62,< 500 hab,41.05,0.0,0.9220489977728286,5.496770601336301
62343,Fontaine-lès-Croisilles,62,< 500 hab,43.54,11.05,0.9643652561247216,7.986770601336303
62344,Fontaine-lès-Hermans,62,< 500 hab,37.5,0.0,0.734966592427617,1.946770601336304
62345,Fontaine-l'Étalon,62,< 500 hab,35.8,0.0,0.5501113585746102,0.2467706013363013
62346,Fortel-en-Artois,62,< 500 hab,38.01,0.0,0.7661469933184856,2.456770601336302
62347,Fosseux,62,< 500 hab,33.71,0.0,0.3184855233853007,-1.843229398663695
62348,Foufflin-Ricametz,62,< 500 hab,35.93,0.0,0.5612472160356348,0.3767706013363039
